OBJECTID	GEO_id	foreign_born_pct	edu_less_hs	unemployment	below_poverty	female_headed_hh	pct_Hispanic	pct_Black	county
226	39061004200	3.1422271	6.9986541	2.1838035	9.261301	1.2522361	2.370452	21.9404631	Hamilton
227	39061004701	5.8481422	1.4480035	2.6058632	4.5895281	2.2965879	1.7447496	1.5185784	Hamilton
228	39061004800	3.4111311	1.847963	0.7338552	1.8252543	5.468216	2.9323758	0	Hamilton
229	39061025402	2.1208908	13.3211679	4.0783898	16.6843408	5.9100067	4.4538706	6.5394132	Hamilton
230	39061025500	2.7339409	19.7426346	5.7650629	24.7072331	10.4887425	6.0680151	14.447655	Hamilton
231	39061025600	2.0655467	9.045505	5.3186813	34.586674	15.1379568	1.4321124	9.0884054	Hamilton
232	39061020501	0.779896	5.4249548	6.202144	8.0285459	2.9787234	0	3.5528596	Hamilton
233	39061020502	3.1204794	6.9417874	3.5887851	4.6105919	2.34375	1.2812565	6.3856169	Hamilton
234	39061020504	5.0126725	5.4583333	1.6433059	2.2247254	6.202209	0.4505773	15.8265277	Hamilton
235	39061020601	1.5845349	6.2541291	3.7945792	6.0687688	8.6778551	1.6003803	1.2517826	Hamilton
236	39061020602	3.2734807	6.3721805	5.8133472	6.3121547	4.2155309	1.1464088	4.7790055	Hamilton
237	39061020701	2.0326878	12.4370087	4.9093445	14.6338106	9.2612231	5.6036259	6.5512979	Hamilton
238	39159050700	0.7166206	5.7867234	1.4652956	7.7843557	1.9274376	0.6160422	0.1760121	Union
239	39159050100	0.4352557	11.0208817	4.6976512	8.1800714	4.1416166	1.6866159	0	Union
240	39159050200	0.5850234	8.6476541	5.7154277	12.5894135	8.8973799	1.2090484	0.0975039	Union
241	39159050500	3.2172092	11.3364824	6.0700389	19.2764054	6.6213922	0	0.6091757	Union
242	39159050400	2.0680385	14.9882904	4.0021345	3.6637613	9.3918399	3.0710371	5.8835694	Union
243	39159050304	0.5576208	10.4726101	3.3333333	2.3791822	3.3497537	0	1.9702602	Union
244	39061024301	24.1778479	2.8583264	4.0151157	9.5501184	9.8630137	3.8410945	12.8650355	Hamilton
245	39061021701	6.2949025	9.4184251	4.2253521	15.0514732	9.2797784	2.2237427	36.7772836	Hamilton
246	39061021802	0	7.8310603	8.0021482	13.3987963	14.2201835	0	42.0183486	Hamilton
247	39061025200	3.5257247	17.352614	9.480585	18.9840272	8.7173792	0.7312614	9.6369809	Hamilton
248	39061023521	5.704698	3.5714286	5.467128	8.644326	8.0504365	5.5555556	13.2363908	Hamilton
249	39061025800	0.7582721	9.2286965	9.4471947	12.9855206	10.7438017	0.6433824	17.4402574	Hamilton
250	39061004900	5.7284409	1.000435	2.454435	7.4314909	3.658935	1.9043196	4.7530578	Hamilton
251	39061005000	5.0854353	4.0983607	2.9064197	6.1005771	4.8144065	4.6989422	8.7672905	Hamilton
252	39061005100	5.0798853	0.9158558	1.4861996	8.9454247	0.6932409	2.4170422	2.9905776	Hamilton
253	39061005200	3.8174274	6.0740741	3.4607066	10.9266943	4.1887593	3.7067773	7.7178423	Hamilton
254	39061005400	7.1502591	8.1632653	4.9618321	9.4300518	1.5923567	7.357513	21.3471503	Hamilton
